Луганська область;2167802
 Міське населення;1884722
 Сільське населення;283080
  Антрацитівський район;308152
  Біловодський район;23359
  Білокуракинський район;18883
  Сорокинський район ;130685
  Кремінський район;211525
  Лутугинський район;65721
  Марківський район;14675
  Міловський район;15112
  Новоайдарський район;40793
  Новопсковський район;33873
  Перевальський район;223282
  Попаснянський район;258451
  Сватівський район;34398
  Довжанський район ;107706
  Слов'яносербський район;137384
  Станично-Луганський район;480549
  Старобільський район;43691
  Троїцький район;19563
Львівська область;2529608
 Міське населення;1542118
 Сільське населення;987490
  Бродівський район;58522
  Буський район;46435
  Городоцький (Львівська) район;68910
  Дрогобицький район;236521
  Жидачівський район;67034
  Жовківський район;110371
  Золочівський (Львівська) район;69188
  Кам'янка-Бузький район;57378
  Миколаївський (Львівська) район;91862
  Мостиський район;56881
  Перемишлянський район;38517
  Пустомитівський район;155837
  Радехівський район;47450
  Самбірський район;102740
  Сколівський район;47473
  Сокальський район;172996
  Старосамбірський район;77502
  Стрийський район;126807
  Турківський район;49604
  Яворівський район;126279
Миколаївська область;1141324
 Міське населення;779706
 Сільське населення;361618
  Арбузинський район;59664
  Баштанський район;37312
  Березанський район;23016
  Березнегуватський район;20065
  Братський район;17645
  Веселинівський район;22711
  Вознесенський район;65049
  Врадіївський район;17262
  Доманівський район;25090
  Єланецький район;15277
  Вітовський район;50191
  Казанківський район;19363
  Кривоозерський район;24361
  Миколаївський район;516260
  Новобузький район;30594
  Новоодеський район;33132
  Очаківський(1) район;28430
  Очаківський(2) район;998
  Первомайський (Миколаївська) район;95157
  Снігурівський район;39747
Одеська область;2383075
 Міське населення;1594905
 Сільське населення;788170
  Ананьївський район;26305
  Арцизький район;44826
  Балтський район;40656
  Березівський район;33403
  Білгород-Дністровський район;116495
  Біляївський район;105058
  Болградський район;67976
  Великомихайлівський район;30632
  Іванівський (Одеська) район;26278
  Ізмаїльський район;122919
  Кілійський район;51541
  Кодимський район;28909
  Лиманський (Одеська) район;103170
  Подільський район;66895
  Окнянський район;19969
  Любашівський район;30048
  Миколаївський (Одеська) район;15897
  Овідіопольський район;155749
  Ренійський район;36903
  Роздільнянський район;57894
  Савранський район;18694
  Саратський район;44808
  Тарутинський район;40976
  Татарбунарський район;38685
  Захарівський район;20082
  Ширяївський район;26813
Полтавська область;1413829
 Міське населення;878939
 Сільське населення;534890
  Великобагачанський район;24342
  Гадяцький район;52364
  Глобинський район;42734
  Гребінківський район;22182
  Диканський район;18696
  Зіньківський район;33815
  Карлівський район;33441
  Кобеляцький район;41374
  Козельщинський район;19000
  Котелевський район;19417
  Кременчуцький район;314839
  Лохвицький район;41922
  Лубенський район;76778
  Машівський район;19160
  Миргородський район;70738
  Новосанжарський район;33752
  Оржицький район;23504
  Пирятинський район;30982
  Полтавський район;356883
  Решетилівський район;26043
  Семенівський район;24615
  Хорольський район;33715
  Чорнухинський район;11055
  Чутівський район;22467
  Шишацький район;20011
Рівненська область;1160647
 Міське населення;550925
 Сільське населення;609722
  Березнівський район;64055
  Володимирецький район;107673
  Гощанський район;35060
  Демидівський район;14462
  Дубенський район;83215
  Дубровицький район;47503
  Зарічненський район;35115
  Здолбунівський район;56737
  Корецький район;33398
  Костопільський район;64127
  Млинівський район;37395
  Острозький район;44050
  Радивилівський район;37036
  Рівненський район;338885
  Рокитнівський район;57583
  Сарненський район;104353
Сумська область;1094284
 Міське населення;754187
 Сільське населення;340097
  Білопільський район;49697
  Буринський район;24193
  Великописарівський район;18450
  Глухівський район;55757
  Конотопський район;119181
  Краснопільський район;28040
  Кролевецький район;37579
  Лебединський район;45143
  Липоводолинський район;18357
  Недригайлівський район;23874
  Охтирський район;74422
  Путивльський район;27056
  Роменський район;72659
  Середино-Будський район;16048
  Сумський район;330065
  Тростянецький (Сумська) район;34402
  Шосткинський район;96080
  Ямпільський район;23281
Тернопільська область;1052312
 Міське населення;472721
 Сільське населення;579591
  Бережанський район;40375
  Борщівський район;66399
  Бучацький район;63110
  Гусятинський район;59321
  Заліщицький район;46059
  Збаразький район;57083
  Зборівський район;41035
  Козівський район;37489
  Кременецький район;67819
  Лановецький район;29325
  Монастириський район;27151
  Підволочиський район;41868
  Підгаєцький район;18125
  Теребовлянський район;64833
  Тернопільський район;285746
  Чортківський район;73189
  Шумський район;33387
Харківська область;2694007
 Міське населення;2179498
 Сільське населення;514509
  Балаклійський район;80487
  Барвінківський район;21057
  Близнюківський район;18491
  Богодухівський район;38453
  Борівський район;16588
  Валківський район;31410
  Великобурлуцький район;21914
  Вовчанський район;45737
  Дворічанський район;17264
  Дергачівський район;94165
  Зачепилівський район;14955
  Зміївський район;70694
  Золочівський (Харківська) район;25747
  Ізюмський район;65277
  Кегичівський район;20847
  Коломацький район;6906
  Красноградський район;44003
  Краснокутський район;27645
  Куп'янський район;79851
  Лозівський район;93057
  Нововодолазький район;32196
  Первомайський (Харківська) район;15399
  Печенізький район;9834
  Сахновщинський район;20767
  Харківський район;201547
  Чугуївський район;79499
  Шевченківський район;20204
Херсонська область;1046981
 Міське населення;641402
 Сільське населення;405579
  Бериславський район;47200
  Білозерський район;395227
  Великолепетиський район;16405
  Великоолександрівський район;25328
  Верхньорогачицький район;11638
  Високопільський район;14822
  Генічеський район;59058
  Голопристанський район;59724
  Горностаївський район;19469
  Іванівський (Херсонська) район;13630
  Каланчацький район;21348
  Каховський район;138607
  Нижньосірогозький район;15591
  Нововоронцовський район;20906
  Новотроїцький район;35223
  Скадовський район;47061
  Олешківський район;70981
  Чаплинський район;34766
Хмельницька область;1274409
 Міське населення;723032
 Сільське населення;551377
  Білогірський район;26278
  Віньковецький район;23731
  Волочиський район;50382
  Городоцький (Хмельницька) район;47008
  Деражнянський район;31339
  Дунаєвецький район;61252
  Ізяславський район;43355
  Кам'янець-Подільський район;165027
  Красилівський район;50840
  Летичівський район;27355
  Новоушицький район;27915
  Полонський район;43649
  Славутський район;101294
  Старокостянтинівський район;62952
  Старосинявський район;19875
  Теофіпольський район;26394
  Хмельницький район;321826
  Чемеровецький район;40055
  Шепетівський район;74901
  Ярмолинецький район;28981
Черкаська область;1220363
 Міське населення;690072
 Сільське населення;530291
  Городищенський район;39745
  Драбівський район;34332
  Жашківський район;36484
  Звенигородський район;60782
  Золотоніський район;69448
  Кам'янський район;26710
  Канівський район;43202
  Катеринопільський район;23779
  Корсунь-Шевченківський район;41927
  Лисянський район;23065
  Маньківський район;27035
  Монастирищенський район;35783
  Смілянський район;100177
  Тальнівський район;33209
  Уманський район;127035
  Христинівський район;34461
  Черкаський район;353863
  Чигиринський район;26406
  Чорнобаївський район;40546
  Шполянський район;42374
Чернівецька область;906701
 Міське населення;390443
 Сільське населення;516258
  Вижницький район;55538
  Герцаївський район;33219
  Глибоцький район;74201
  Заставнівський район;314907
  Кельменецький район;40179
  Кіцманський район;68729
  Новоселицький район;77577
  Путильський район;26365
  Сокирянський район;53430
  Сторожинецький район;100788
  Хотинський район;61768
Чернігівська область;1020078
 Міське населення;662428
 Сільське населення;357650
  Бахмацький район;43990
  Бобровицький район;32438
  Борзнянський район;30780
  Варвинський район;15760
  Городнянський район;27861
  Ічнянський район;30703
  Козелецький район;69219
  Коропський район;22561
  Корюківський район;26395
  Куликівський район;16470
  Менський район;35249
  Ніжинський район;96876
  Новгород-Сіверський район;26278
  Носівський район;28682
  Прилуцький район;90569
  Ріпкинський район;26770
  Семенівський район;17515
  Сосницький район;18112
  Срібнянський район;11154
  Талалаївський район;12612
  Чернігівський (Чернігівська) район;341902
м. Київ ;2936837
 м. Київ (Голосіївський район);251139
 м. Київ (Дарницький район);341519
 м. Київ (Деснянський район);368816
 м. Київ (Дніпровський район);356379
 м. Київ (Оболонський район);320277
 м. Київ (Печерський район);159241
 м. Київ (Подільський район);203860
 м. Київ (Святошинський район);341871
 м. Київ (Солом´янський район);371101
 м. Київ (Шевченківський район);222634
  м. Одеса;1011494
